,Open,High,Low,Close,Adj Close,Volume
2005-12-26 00:00:00,38.370865,38.370865,38.370865,38.370865,25.127485,0.0
2005-12-27 00:00:00,38.300842,38.861004,38.230824,38.767643,25.387314,690245.0
2005-12-28 00:00:00,38.510902,38.931023,38.510902,38.627602,25.295603,609153.0
2005-12-29 00:00:00,38.557583,38.674282,38.394203,38.557583,25.249752,562662.0
2005-12-30 00:00:00,38.534245,38.650944,37.857384,37.927402,24.83708,908644.0
2006-01-02 00:00:00,37.927402,38.370865,37.880726,38.230824,25.035778,580224.0
2006-01-03 00:00:00,37.880726,39.07106,37.880726,39.07106,25.586012,1995951.0
2006-01-04 00:00:00,39.211102,39.60788,38.954361,39.141083,25.631865,1719245.0
2006-01-05 00:00:00,39.024384,39.141083,38.767643,38.907681,25.479025,976120.0
2006-01-06 00:00:00,38.907681,39.047722,38.790981,38.977703,25.524879,1029291.0
2006-01-09 00:00:00,39.094402,39.094402,38.534245,38.557583,25.249752,1577441.0
2006-01-10 00:00:00,38.370865,38.604263,38.230824,38.417542,25.158049,1209617.0
2006-01-11 00:00:00,38.674282,38.884342,38.464222,38.580921,25.265041,992821.0
2006-01-12 00:00:00,38.510902,39.304462,38.510902,39.117741,25.616581,1119964.0
2006-01-13 00:00:00,39.024384,39.094402,38.650944,38.674282,25.326176,1483765.0
2006-01-16 00:00:00,38.69762,38.931023,38.580921,38.604263,25.280327,842791.0
2006-01-17 00:00:00,38.277504,38.464222,37.880726,37.904064,24.821793,2011123.0
2006-01-18 00:00:00,37.390587,38.254166,37.250546,38.090782,24.944069,2395370.0
2006-01-19 00:00:00,38.090782,38.324184,37.764027,37.810703,24.76066,1468255.0
2006-01-20 00:00:00,37.880726,38.557583,37.764027,37.834045,24.77594,1886761.0
2006-01-23 00:00:00,37.507286,37.857384,37.367245,37.694004,24.684235,1840711.0
2006-01-24 00:00:00,38.044106,39.794601,38.044106,39.07106,25.586012,4953230.0
2006-01-25 00:00:00,39.537861,40.331417,39.4445,39.794601,26.059828,3769598.0
2006-01-26 00:00:00,40.308079,40.494797,39.771259,40.004658,26.197386,2119452.0
2006-01-27 00:00:00,40.028,40.331417,39.677898,39.981319,26.182106,2839163.0
2006-01-30 00:00:00,39.747921,39.771259,38.884342,38.884342,25.463734,2479946.0
2006-01-31 00:00:00,38.767643,39.514519,38.767643,39.49118,25.861139,1696113.0
2006-02-01 00:00:00,39.117741,39.561199,39.094402,39.4445,25.830559,1447947.0
2006-02-02 00:00:00,39.327801,39.421162,38.907681,38.907681,25.479025,1646786.0
2006-02-03 00:00:00,39.187759,39.327801,38.884342,39.28112,25.723572,1556259.0
2006-02-06 00:00:00,39.467838,39.60788,39.211102,39.351143,25.769424,917478.0
2006-02-07 00:00:00,39.374481,39.514519,39.024384,39.351143,25.769424,1278010.0
2006-02-08 00:00:00,39.094402,39.23444,38.884342,39.024384,25.555445,1102432.0
2006-02-09 00:00:00,39.141083,39.584541,39.047722,39.4445,25.830559,1215585.0
2006-02-10 00:00:00,39.23444,39.561199,38.977703,38.977703,25.524879,1482433.0
2006-02-13 00:00:00,38.954361,39.141083,38.580921,39.141083,25.631865,1546966.0
2006-02-14 00:00:00,39.164421,39.257782,38.861004,39.257782,25.708288,1149535.0
